rental_id,payment_date
76,"2005-05-25 11:30:37"
1185,"2005-06-15 00:54:12"
1476,"2005-06-15 21:08:46"
1725,"2005-06-16 15:18:57"
2308,"2005-06-18 08:41:48"
3284,"2005-06-21 06:24:45"
4526,"2005-07-08 03:17:05"
4611,"2005-07-08 07:33:56"
5244,"2005-07-09 13:24:07"
5326,"2005-07-09 16:38:01"
6163,"2005-07-11 10:13:46"
7273,"2005-07-27 11:31:22"
7841,"2005-07-28 09:04:45"
8033,"2005-07-28 16:18:23"
8326,"2005-07-29 03:58:49"
9571,"2005-07-31 02:42:18"
10437,"2005-08-01 08:51:04"
11299,"2005-08-02 15:36:52"
11824,"2005-08-17 12:37:54"
13176,"2005-08-19 13:56:54"
14825,"2005-08-22 01:27:57"
15298,"2005-08-22 19:41:37"
15315,"2005-08-22 20:03:46"
320,"2005-05-27 00:09:24"
2128,"2005-06-17 20:54:58"
5636,"2005-07-10 06:31:24"
5755,"2005-07-10 12:38:56"
7346,"2005-07-27 14:30:42"
7376,"2005-07-27 15:23:02"
7459,"2005-07-27 18:40:20"
8230,"2005-07-29 00:12:59"
8598,"2005-07-29 12:56:59"
8705,"2005-07-29 17:14:29"
9031,"2005-07-30 06:06:10"
9236,"2005-07-30 13:47:43"
9296,"2005-07-30 16:21:13"
9465,"2005-07-30 22:39:53"
10136,"2005-07-31 21:58:56"
11087,"2005-08-02 07:41:41"
11177,"2005-08-02 10:43:48"
11256,"2005-08-02 13:44:53"
11614,"2005-08-17 03:52:18"
12963,"2005-08-19 06:26:04"
14475,"2005-08-21 13:24:32"
14743,"2005-08-21 22:41:56"
15145,"2005-08-22 13:53:04"
15907,"2005-08-23 17:39:35"
435,"2005-05-27 17:17:09"
830,"2005-05-29 22:43:55"
1546,"2005-06-16 01:34:05"
1726,"2005-06-16 15:19:10"
1911,"2005-06-17 05:15:15"
2628,"2005-06-19 08:34:53"
4180,"2005-07-07 10:23:25"
4725,"2005-07-08 12:47:11"
7096,"2005-07-27 04:54:42"
7503,"2005-07-27 20:23:12"
7703,"2005-07-28 03:59:21"
7724,"2005-07-28 04:46:30"
7911,"2005-07-28 11:46:45"
8086,"2005-07-28 18:17:14"
8545,"2005-07-29 11:07:04"
9226,"2005-07-30 13:31:20"
9443,"2005-07-30 21:45:46"
9595,"2005-07-31 03:27:58"
9816,"2005-07-31 11:32:58"
10597,"2005-08-01 14:19:48"
12556,"2005-08-18 14:49:55"
13403,"2005-08-19 22:18:07"
13610,"2005-08-20 06:14:12"
14699,"2005-08-21 20:50:48"
15619,"2005-08-23 07:10:14"
1297,"2005-06-15 09:31:28"
1707,"2005-06-16 14:01:27"
2642,"2005-06-19 09:39:01"
7660,"2005-07-28 02:10:10"
7718,"2005-07-28 04:37:59"
8741,"2005-07-29 18:44:57"
9100,"2005-07-30 08:46:09"
9371,"2005-07-30 18:58:00"
11110,"2005-08-02 08:20:31"
11529,"2005-08-17 00:28:01"
12151,"2005-08-18 00:14:03"
12294,"2005-08-18 05:14:44"
12856,"2005-08-19 02:19:13"
13704,"2005-08-20 09:32:04"
13807,"2005-08-20 12:55:40"
14225,"2005-08-21 04:53:37"
15147,"2005-08-22 13:58:23"
15635,"2005-08-23 07:43:00"
1085,"2005-05-31 11:15:43"
1142,"2005-05-31 19:46:38"
1502,"2005-06-15 22:03:14"
1631,"2005-06-16 08:01:02"
2063,"2005-06-17 15:56:53"
2570,"2005-06-19 04:20:13"
3126,"2005-06-20 18:38:22"
3677,"2005-07-06 09:11:58"
4889,"2005-07-08 20:04:43"
5016,"2005-07-09 01:57:57"
5118,"2005-07-09 07:13:52"
5156,"2005-07-09 08:51:42"
6042,"2005-07-11 03:17:04"
6663,"2005-07-12 11:27:35"
6685,"2005-07-12 12:16:28"
7829,"2005-07-28 08:43:39"
8263,"2005-07-29 01:11:23"
8978,"2005-07-30 04:14:28"
9493,"2005-07-30 23:52:30"
9888,"2005-07-31 14:00:53"
10609,"2005-08-01 14:48:45"
11001,"2005-08-02 04:56:45"
11179,"2005-08-02 10:50:06"
11930,"2005-08-17 16:28:53"
12145,"2005-08-18 00:10:04"
12797,"2005-08-19 00:24:08"
13063,"2005-08-19 09:45:41"
14053,"2005-08-20 22:13:59"
14430,"2005-08-21 11:31:11"
14494,"2005-08-21 14:02:50"
57,"2005-05-25 08:43:32"
577,"2005-05-28 11:09:14"
1575,"2005-06-16 03:41:38"
1841,"2005-06-16 23:44:13"
4278,"2005-07-07 14:53:24"
6211,"2005-07-11 12:39:01"
6248,"2005-07-11 15:01:54"
7099,"2005-07-27 05:03:44"
7136,"2005-07-27 06:38:25"
10271,"2005-08-01 03:13:39"
11023,"2005-08-02 05:36:38"
11398,"2005-08-02 18:55:15"
11591,"2005-08-17 02:29:41"
12254,"2005-08-18 04:05:29"
13451,"2005-08-20 00:18:25"
14329,"2005-08-21 08:22:56"
14377,"2005-08-21 09:49:28"
15509,"2005-08-23 02:51:24"
46,"2005-05-25 06:04:08"
748,"2005-05-29 09:27:00"
975,"2005-05-30 21:07:15"
1063,"2005-05-31 08:44:29"
2250,"2005-06-18 05:03:36"
2888,"2005-06-20 01:50:56"
3639,"2005-07-06 07:09:17"
4238,"2005-07-07 13:22:20"
4787,"2005-07-08 16:16:04"
4856,"2005-07-08 18:47:38"
5441,"2005-07-09 21:52:05"
5921,"2005-07-10 21:35:12"
6174,"2005-07-11 10:36:28"
6295,"2005-07-11 17:30:58"
6761,"2005-07-12 15:17:42"
8422,"2005-07-29 07:02:55"
9624,"2005-07-31 04:30:03"
10330,"2005-08-01 04:57:04"
10423,"2005-08-01 08:19:53"
10514,"2005-08-01 11:39:26"
10644,"2005-08-01 15:52:00"
10989,"2005-08-02 04:40:54"
11542,"2005-08-17 00:51:32"
12367,"2005-08-18 07:57:14"
12730,"2005-08-18 21:55:01"
13373,"2005-08-19 21:23:31"
13476,"2005-08-20 01:06:04"
14222,"2005-08-21 04:49:48"
866,"2005-05-30 03:43:54"
1305,"2005-06-15 09:59:16"
2095,"2005-06-17 18:21:35"
3114,"2005-06-20 17:57:47"
3475,"2005-07-05 23:01:21"
4175,"2005-07-07 10:02:03"
4409,"2005-07-07 21:47:29"
4503,"2005-07-08 02:17:12"
5300,"2005-07-09 15:40:46"
5341,"2005-07-09 17:13:23"
6375,"2005-07-11 21:39:46"
