title,first_name,last_name
"ALONE TRIP",ED,CHASE
"ARMY FLINTSTONES",ED,CHASE
"ARTIST COLDBLOODED",ED,CHASE
"BOONDOCK BALLROOM",ED,CHASE
"CADDYSHACK JEDI",ED,CHASE
"COWBOY DOOM",ED,CHASE
"EVE RESURRECTION",ED,CHASE
"FORREST SONS",ED,CHASE
"FRENCH HOLIDAY",ED,CHASE
"FROST HEAD",ED,CHASE
"HALLOWEEN NUTS",ED,CHASE
"HUNTER ALTER",ED,CHASE
"IMAGE PRINCESS",ED,CHASE
"JEEPERS WEDDING",ED,CHASE
"LUCK OPUS",ED,CHASE
"NECKLACE OUTBREAK",ED,CHASE
"PLATOON INSTINCT",ED,CHASE
"SPICE SORORITY",ED,CHASE
"WEDDING APOLLO",ED,CHASE
"WEEKEND PERSONAL",ED,CHASE
"WHALE BIKINI",ED,CHASE
"YOUNG LANGUAGE",ED,CHASE
"ALABAMA DEVIL",ELVIS,MARX
"ANACONDA CONFESSIONS",ELVIS,MARX
"BAREFOOT MANCHURIAN",ELVIS,MARX
"BORROWERS BEDAZZLED",ELVIS,MARX
"CADDYSHACK JEDI",ELVIS,MARX
"CHITTY LOCK",ELVIS,MARX
"EVOLUTION ALTER",ELVIS,MARX
"EXPECATIONS NATURAL",ELVIS,MARX
"GANGS PRIDE",ELVIS,MARX
"GOODFELLAS SALUTE",ELVIS,MARX
"HOBBIT ALIEN",ELVIS,MARX
"HOOK CHARIOTS",ELVIS,MARX
"JERICHO MULAN",ELVIS,MARX
"JUMPING WRATH",ELVIS,MARX
"KENTUCKIAN GIANT",ELVIS,MARX
"LOVELY JINGLE",ELVIS,MARX
"MOTIONS DETAILS",ELVIS,MARX
"ODDS BOOGIE",ELVIS,MARX
"OUTLAW HANKY",ELVIS,MARX
"POLISH BROOKLYN",ELVIS,MARX
"RIGHT CRANES",ELVIS,MARX
"ROOF CHAMPION",ELVIS,MARX
"SEATTLE EXPECATIONS",ELVIS,MARX
"SKY MIRACLE",ELVIS,MARX
"TROJAN TOMORROW",ELVIS,MARX
"WATERFRONT DELIVERANCE",ELVIS,MARX
"ALADDIN CALENDAR",ALEC,WAYNE
"BLADE POLISH",ALEC,WAYNE
"BULL SHAWSHANK",ALEC,WAYNE
"CABIN FLASH",ALEC,WAYNE
"CENTER DINOSAUR",ALEC,WAYNE
"CHAMBER ITALIAN",ALEC,WAYNE
"CONEHEADS SMOOCHY",ALEC,WAYNE
"DESTINY SATURDAY",ALEC,WAYNE
"EFFECT GLADIATOR",ALEC,WAYNE
"ENCOUNTERS CURTAIN",ALEC,WAYNE
"EXPRESS LONELY",ALEC,WAYNE
"FICTION CHRISTMAS",ALEC,WAYNE
"FREEDOM CLEOPATRA",ALEC,WAYNE
"FUGITIVE MAGUIRE",ALEC,WAYNE
"HOURS RAGE",ALEC,WAYNE
"HUSTLER PARTY",ALEC,WAYNE
"IDENTITY LOVER",ALEC,WAYNE
"INSIDER ARIZONA",ALEC,WAYNE
"JEOPARDY ENCINO",ALEC,WAYNE
"JOON NORTHWEST",ALEC,WAYNE
"LIBERTY MAGNIFICENT",ALEC,WAYNE
"MAGIC MALLRATS",ALEC,WAYNE
"MONEY HAROLD",ALEC,WAYNE
"OUTBREAK DIVINE",ALEC,WAYNE
"REIGN GENTLEMEN",ALEC,WAYNE
"SMOKING BARBARELLA",ALEC,WAYNE
"SUMMER SCARFACE",ALEC,WAYNE
"UPTOWN YOUNG",ALEC,WAYNE
"VIRGIN DAISY",ALEC,WAYNE
"ATLANTIS CAUSE",AUDREY,OLIVIER
"BOULEVARD MOB",AUDREY,OLIVIER
"CAPER MOTIONS",AUDREY,OLIVIER
"CASSIDY WYOMING",AUDREY,OLIVIER
"CONEHEADS SMOOCHY",AUDREY,OLIVIER
"CONTROL ANTHEM",AUDREY,OLIVIER
"DORADO NOTTING",AUDREY,OLIVIER
"FRENCH HOLIDAY",AUDREY,OLIVIER
"GUNFIGHTER MUSSOLINI",AUDREY,OLIVIER
"HALLOWEEN NUTS",AUDREY,OLIVIER
"HUMAN GRAFFITI",AUDREY,OLIVIER
"KANE EXORCIST",AUDREY,OLIVIER
"KNOCK WARLOCK",AUDREY,OLIVIER
"LOATHING LEGALLY",AUDREY,OLIVIER
"PEAK FOREVER",AUDREY,OLIVIER
"REDEMPTION COMFORTS",AUDREY,OLIVIER
"SENSE GREEK",AUDREY,OLIVIER
"SHIP WONDERLAND",AUDREY,OLIVIER
"SIDE ARK",AUDREY,OLIVIER
"SQUAD FISH",AUDREY,OLIVIER
"STING PERSONAL",AUDREY,OLIVIER
"STRANGER STRANGERS",AUDREY,OLIVIER
"USUAL UNTOUCHABLES",AUDREY,OLIVIER
"VOLUME HOUSE",AUDREY,OLIVIER
"WHALE BIKINI",AUDREY,OLIVIER
"APACHE DIVINE",ANNE,CRONYN
"CINCINATTI WHISPERER",ANNE,CRONYN
"CROWDS TELEMARK",ANNE,CRONYN
"DANGEROUS UPTOWN",ANNE,CRONYN
"DRAGON SQUAD",ANNE,CRONYN
"ENCOUNTERS CURTAIN",ANNE,CRONYN
"GANDHI KWAI",ANNE,CRONYN
"HALF OUTFIELD",ANNE,CRONYN
"HARDLY ROBBERS",ANNE,CRONYN
"HAWK CHILL",ANNE,CRONYN
"HOLLYWOOD ANONYMOUS",ANNE,CRONYN
"HORN WORKING",ANNE,CRONYN
"IRON MOON",ANNE,CRONYN
"LADY STAGE",ANNE,CRONYN
"LUST LOCK",ANNE,CRONYN
"MANNEQUIN WORST",ANNE,CRONYN
"MINDS TRUMAN",ANNE,CRONYN
"MOON BUNCH",ANNE,CRONYN
"PATHS CONTROL",ANNE,CRONYN
"RACER EGG",ANNE,CRONYN
"REAP UNFAITHFUL",ANNE,CRONYN
"REQUIEM TYCOON",ANNE,CRONYN
"RIDER CADDYSHACK",ANNE,CRONYN
"SMILE EARRING",ANNE,CRONYN
